sheet,section,variable_name,label,field_type,values,value_label,instrument,search_text_original,domain_primary,domain_secondary,keywords_en,keywords_nl,instrument_aliases_en,instrument_aliases_nl,search_text
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_dependency_1,Lyme dependency 1,calculation,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_dependency_1 | Lyme dependency 1 | calculation |  | ,medical_history,,general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; dependency,nan,nan,2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_dependency_1 | Lyme dependency 1 | nan | medical_history | general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; dependency
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_symp_date,Wanneer begonnen deze eerste klachten van de ziekte van Lyme?,date_partial,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_symp_date | Wanneer begonnen deze eerste klachten van de ziekte van Lyme? | date_partial |  | ,medical_history,,general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; begonnen; eerste; klachten; ziekte,nan,nan,2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_symp_date | Wanneer begonnen deze eerste klachten van de ziekte van Lyme? | nan | medical_history | general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; begonnen; eerste; klachten; ziekte
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_clinician,Door wat voor soort arts bent u gediagnosticeerd met de ziekte van Lyme? (Meerdere antwoorden zijn mogelijk),checkbox,"1,
2,
3","Huisarts,
Specialist in een ziekenhuis,
Kliniek, niet aangesloten bij huisarts of ziekenhuis",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_clinician | Door wat voor soort arts bent u gediagnosticeerd met de ziekte van Lyme? (Meerdere antwoorden zijn mogelijk) | checkbox | 1,
2,
3 | Huisarts,
Specialist in een ziekenhuis,
Kliniek, niet aangesloten bij huisarts of ziekenhuis",medical_history,,general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; door; soort; arts; bent; gediagnosticeerd; ziekte; meerdere; antwoorden; mogelijk,nan,nan,2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_clinician | Door wat voor soort arts bent u gediagnosticeerd met de ziekte van Lyme? (Meerdere antwoorden zijn mogelijk) | nan | medical_history | general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; door; soort; arts; bent; gediagnosticeerd; ziekte; meerdere; antwoorden; mogelijk
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_diagnosis,Hoe stelde uw arts de diagnose ziekte van Lyme? (Meerdere antwoorden zijn mogelijk),checkbox,"0,
1,
2","Op basis van een bloedtest voor de Lyme bacterie (antistoffen),
Op basis van een uitgebreide rode ring of vlek op uw huid (erythema migrans) na een tekenbeet,
Anders, namelijk...",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_diagnosis | Hoe stelde uw arts de diagnose ziekte van Lyme? (Meerdere antwoorden zijn mogelijk) | checkbox | 0,
1,
2 | Op basis van een bloedtest voor de Lyme bacterie (antistoffen),
Op basis van een uitgebreide rode ring of vlek op uw huid (erythema migrans) na een tekenbeet,
Anders, namelijk...",medical_history,,general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; stelde; arts; ziekte; meerdere; antwoorden; mogelijk,nan,nan,2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_diagnosis | Hoe stelde uw arts de diagnose ziekte van Lyme? (Meerdere antwoorden zijn mogelijk) | nan | medical_history | general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; stelde; arts; ziekte; meerdere; antwoorden; mogelijk
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_diagnosis_other,"Anders, namelijk:",textarea,,,,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_diagnosis_other | Anders, namelijk: | textarea |  | ",medical_history,,general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; anders; namelijk,nan,nan,"2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_diagnosis_other | Anders, namelijk: | nan | medical_history | general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; anders; namelijk"
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_antibiotics,Bent u voor uw ziekte van Lyme klachten met antibiotica behandeld?,radio,"0,
1","Nee,
Ja",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_antibiotics | Bent u voor uw ziekte van Lyme klachten met antibiotica behandeld? | radio | 0,
1 | Nee,
Ja",medication_supplements,medical_history,general medical history; lyme; me/cfs; medication; drug use; supplements; dosage; prescription; treatment; medical history; health history; diagnosis; chronic disease; illness; condition; antibiotics; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medicatie; geneesmiddelen; voedingssupplementen; dosering; recept; behandeling; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; bent; ziekte; klachten; antibiotica; behandeld,nan,nan,2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_antibiotics | Bent u voor uw ziekte van Lyme klachten met antibiotica behandeld? | nan | medication_supplements | medical_history | general medical history; lyme; me/cfs; medication; drug use; supplements; dosage; prescription; treatment; medical history; health history; diagnosis; chronic disease; illness; condition; antibiotics; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medicatie; geneesmiddelen; voedingssupplementen; dosering; recept; behandeling; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; bent; ziekte; klachten; antibiotica; behandeld
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_antibiotics_date,Wanneer begon de antibiotica-behandeling van de ziekte van Lyme?,date_partial,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_antibiotics_date | Wanneer begon de antibiotica-behandeling van de ziekte van Lyme? | date_partial |  | ,medication_supplements,medical_history,general medical history; lyme; me/cfs; medication; drug use; supplements; dosage; prescription; treatment; medical history; health history; diagnosis; chronic disease; illness; condition; antibiotics; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medicatie; geneesmiddelen; voedingssupplementen; dosering; recept; behandeling; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; begon; antibiotica-behandeling; ziekte,nan,nan,2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_antibiotics_date | Wanneer begon de antibiotica-behandeling van de ziekte van Lyme? | nan | medication_supplements | medical_history | general medical history; lyme; me/cfs; medication; drug use; supplements; dosage; prescription; treatment; medical history; health history; diagnosis; chronic disease; illness; condition; antibiotics; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medicatie; geneesmiddelen; voedingssupplementen; dosering; recept; behandeling; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; begon; antibiotica-behandeling; ziekte
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_dependency_2,Lyme dependency 2,calculation,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_dependency_2 | Lyme dependency 2 | calculation |  | ,medical_history,,general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; dependency,nan,nan,2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_dependency_2 | Lyme dependency 2 | nan | medical_history | general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; dependency
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_antibiotics_duration,Hoe lang bent u (ongeveer) met antibiotica behandeld voor de ziekte van Lyme?,radio,"0,
1,
2,
3,
4","Minder dan 2 dagen,
5 dagen,
10 dagen,
14 dagen,
Meer dan 14 dagen",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_antibiotics_duration | Hoe lang bent u (ongeveer) met antibiotica behandeld voor de ziekte van Lyme? | radio | 0,
1,
2,
3,
4 | Minder dan 2 dagen,
5 dagen,
10 dagen,
14 dagen,
Meer dan 14 dagen",medication_supplements,medical_history,general medical history; lyme; me/cfs; medication; drug use; supplements; dosage; prescription; treatment; medical history; health history; diagnosis; chronic disease; illness; condition; antibiotics; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medicatie; geneesmiddelen; voedingssupplementen; dosering; recept; behandeling; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; lang; bent; ongeveer; antibiotica; behandeld; ziekte,nan,nan,2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_antibiotics_duration | Hoe lang bent u (ongeveer) met antibiotica behandeld voor de ziekte van Lyme? | nan | medication_supplements | medical_history | general medical history; lyme; me/cfs; medication; drug use; supplements; dosage; prescription; treatment; medical history; health history; diagnosis; chronic disease; illness; condition; antibiotics; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medicatie; geneesmiddelen; voedingssupplementen; dosering; recept; behandeling; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; lang; bent; ongeveer; antibiotica; behandeld; ziekte
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_antibiotics_t,Meer dan 14 dagen: Waar vond deze behandeling plaats? (Naam van de instelling),textarea,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_antibiotics_t | Meer dan 14 dagen: Waar vond deze behandeling plaats? (Naam van de instelling) | textarea |  | ,medical_history,,general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; antibiotics; medication; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; dagen; vond; behandeling; plaats; naam; instelling,nan,nan,2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_antibiotics_t | Meer dan 14 dagen: Waar vond deze behandeling plaats? (Naam van de instelling) | nan | medical_history | general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; antibiotics; medication; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; dagen; vond; behandeling; plaats; naam; instelling
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_dependency_3,Lyme dependency 3,calculation,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_dependency_3 | Lyme dependency 3 | calculation |  | ,medical_history,,general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis,algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; dependency,nan,nan,2.1. ME CFS Screening | Algemene medische geschiedenis | lyme_dependency_3 | Lyme dependency 3 | nan | medical_history | general medical history; lyme; me/cfs; medical history; health history; diagnosis; chronic disease; illness; condition; algemene; medische; geschiedenis | algemene medische geschiedenis; lyme; me cfs; medische geschiedenis; gezondheidsgeschiedenis; diagnose; chronische ziekte; aandoening; comorbiditeit; dependency
