sheet,section,variable_name,label,field_type,values,value_label,instrument,search_text
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_dependency_1,Lyme dependency 1,calculation,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_dependency_1 | Lyme dependency 1 | calculation |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_symp_date,Wanneer begonnen deze eerste klachten van de ziekte van Lyme?,date_partial,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_symp_date | Wanneer begonnen deze eerste klachten van de ziekte van Lyme? | date_partial |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_clinician,Door wat voor soort arts bent u gediagnosticeerd met de ziekte van Lyme? (Meerdere antwoorden zijn mogelijk),checkbox,"1,
2,
3","Huisarts,
Specialist in een ziekenhuis,
Kliniek, niet aangesloten bij huisarts of ziekenhuis",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_clinician | Door wat voor soort arts bent u gediagnosticeerd met de ziekte van Lyme? (Meerdere antwoorden zijn mogelijk) | checkbox | 1,
2,
3 | Huisarts,
Specialist in een ziekenhuis,
Kliniek, niet aangesloten bij huisarts of ziekenhuis"
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_diagnosis,Hoe stelde uw arts de diagnose ziekte van Lyme? (Meerdere antwoorden zijn mogelijk),checkbox,"0,
1,
2","Op basis van een bloedtest voor de Lyme bacterie (antistoffen),
Op basis van een uitgebreide rode ring of vlek op uw huid (erythema migrans) na een tekenbeet,
Anders, namelijk...",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_diagnosis | Hoe stelde uw arts de diagnose ziekte van Lyme? (Meerdere antwoorden zijn mogelijk) | checkbox | 0,
1,
2 | Op basis van een bloedtest voor de Lyme bacterie (antistoffen),
Op basis van een uitgebreide rode ring of vlek op uw huid (erythema migrans) na een tekenbeet,
Anders, namelijk..."
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_diagnosis_other,"Anders, namelijk:",textarea,,,,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_diagnosis_other | Anders, namelijk: | textarea |  | "
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_antibiotics,Bent u voor uw ziekte van Lyme klachten met antibiotica behandeld?,radio,"0,
1","Nee,
Ja",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_antibiotics | Bent u voor uw ziekte van Lyme klachten met antibiotica behandeld? | radio | 0,
1 | Nee,
Ja"
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_antibiotics_date,Wanneer begon de antibiotica-behandeling van de ziekte van Lyme?,date_partial,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_antibiotics_date | Wanneer begon de antibiotica-behandeling van de ziekte van Lyme? | date_partial |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_dependency_2,Lyme dependency 2,calculation,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_dependency_2 | Lyme dependency 2 | calculation |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_antibiotics_duration,Hoe lang bent u (ongeveer) met antibiotica behandeld voor de ziekte van Lyme?,radio,"0,
1,
2,
3,
4","Minder dan 2 dagen,
5 dagen,
10 dagen,
14 dagen,
Meer dan 14 dagen",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_antibiotics_duration | Hoe lang bent u (ongeveer) met antibiotica behandeld voor de ziekte van Lyme? | radio | 0,
1,
2,
3,
4 | Minder dan 2 dagen,
5 dagen,
10 dagen,
14 dagen,
Meer dan 14 dagen"
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_antibiotics_t,Meer dan 14 dagen: Waar vond deze behandeling plaats? (Naam van de instelling),textarea,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_antibiotics_t | Meer dan 14 dagen: Waar vond deze behandeling plaats? (Naam van de instelling) | textarea |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_dependency_3,Lyme dependency 3,calculation,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_dependency_3 | Lyme dependency 3 | calculation |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_antibiotics_resolution,Leidde de antibiotica-behandeling (in eerste instantie) tot het verdwijnen van uw klachten van de ziekte van Lyme?,radio,"0,
1,
2","Nee,
Ja,
Gedeeltelijk",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_antibiotics_resolution | Leidde de antibiotica-behandeling (in eerste instantie) tot het verdwijnen van uw klachten van de ziekte van Lyme? | radio | 0,
1,
2 | Nee,
Ja,
Gedeeltelijk"
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_ptlds_duration,"Hoe lang na de behandeling van de ziekte van Lyme kreeg u aanhoudende klachten zoals vermoeidheid, spier- of gwrichtspijn, cognitieve problemen en/of slaapproblemen, ook wel bekend als het 'post-Lymeziektesyndroom' of 'post-treatment Lyme disease syndrome'?",radio,"0,
1,
2,
3,
4,
5","Ik heb geen klachten ontwikkeld of gehouden na de behandeling,
Minder dan 1 week (ofwel: direct na de behandeling),
1-4 weken,
1-3 maanden,
3-6 maanden,
Meer dan 6 maanden",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_ptlds_duration | Hoe lang na de behandeling van de ziekte van Lyme kreeg u aanhoudende klachten zoals vermoeidheid, spier- of gwrichtspijn, cognitieve problemen en/of slaapproblemen, ook wel bekend als het 'post-Lymeziektesyndroom' of 'post-treatment Lyme disease syndrome'? | radio | 0,
1,
2,
3,
4,
5 | Ik heb geen klachten ontwikkeld of gehouden na de behandeling,
Minder dan 1 week (ofwel: direct na de behandeling),
1-4 weken,
1-3 maanden,
3-6 maanden,
Meer dan 6 maanden"
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_dependency_4,Lyme dependency 4,calculation,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_dependency_4 | Lyme dependency 4 | calculation |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_ptlds_clinician,Door wat voor soort arts bent u gediagnosticeerd met het post-Lymeziektesyndroom?,radio,"0,
1,
2","Huisarts,
Specialist in een ziekenhuis,
Kliniek, niet aangesloten bij huisarts of ziekenhuis",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_ptlds_clinician | Door wat voor soort arts bent u gediagnosticeerd met het post-Lymeziektesyndroom? | radio | 0,
1,
2 | Huisarts,
Specialist in een ziekenhuis,
Kliniek, niet aangesloten bij huisarts of ziekenhuis"
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_ptlds_recovery,Is het post-Lymeziektesyndroom inmiddels hersteld?,radio,"0,
1","Nee,
Ja",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_ptlds_recovery | Is het post-Lymeziektesyndroom inmiddels hersteld? | radio | 0,
1 | Nee,
Ja"
2.1. ME CFS Screening,Algemene medische geschiedenis,lyme_ptlds_recovery_date,Hersteld sinds:,date_partial,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | lyme_ptlds_recovery_date | Hersteld sinds: | date_partial |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,qfs_diagnosis,Bent u door een arts gediagnosticeerd met acute Q-koorts?,radio,"0,
1,
2,
3","Nee, ik ben niet gediagnosticeerd met acute Q-koorts en kan mij ook niet herinneren dat ik een ziektebeeld heb doorgemaakt lijkend op acute Q-koorts tijdens de uitbraak van 2007-2011,
Ja, tijdens de uitbraak van 2007-2011,
Ja, buiten de uitbraak van 2007-2011,
Niet toen ik de infectie had, maar ik kreeg klachten die passen bij de infectie tijdens de uitbraak en later bleek dat ik antistoffen tegen Q-koorts had",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | qfs_diagnosis | Bent u door een arts gediagnosticeerd met acute Q-koorts? | radio | 0,
1,
2,
3 | Nee, ik ben niet gediagnosticeerd met acute Q-koorts en kan mij ook niet herinneren dat ik een ziektebeeld heb doorgemaakt lijkend op acute Q-koorts tijdens de uitbraak van 2007-2011,
Ja, tijdens de uitbraak van 2007-2011,
Ja, buiten de uitbraak van 2007-2011,
Niet toen ik de infectie had, maar ik kreeg klachten die passen bij de infectie tijdens de uitbraak en later bleek dat ik antistoffen tegen Q-koorts had"
2.1. ME CFS Screening,Algemene medische geschiedenis,qfs_dependency_1,QFS dependency 1,calculation,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | qfs_dependency_1 | QFS dependency 1 | calculation |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,qfs_develop,Heeft u het Q-koorts vermoeidheidssyndroom ontwikkeld onmiddellijk na de (vermoedelijke) acute Q-koortsinfectie?,radio,"0,
1","Nee,
Ja",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | qfs_develop | Heeft u het Q-koorts vermoeidheidssyndroom ontwikkeld onmiddellijk na de (vermoedelijke) acute Q-koortsinfectie? | radio | 0,
1 | Nee,
Ja"
2.1. ME CFS Screening,Algemene medische geschiedenis,qfs_clinician,Wie heeft bij u de diagnose Q-koortsvermoeidheidssyndroom gesteld?,radio,"1,
2,
3,
4","Een medisch specialist (in het ziekenhuis),
Een arts van Q-uestion of Q-support,
Mijn huisarts,
Iemand anders",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | qfs_clinician | Wie heeft bij u de diagnose Q-koortsvermoeidheidssyndroom gesteld? | radio | 1,
2,
3,
4 | Een medisch specialist (in het ziekenhuis),
Een arts van Q-uestion of Q-support,
Mijn huisarts,
Iemand anders"
2.1. ME CFS Screening,Algemene medische geschiedenis,qfs_clinician_t,Geef aan wie de diagnose heeft gesteld,string,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | qfs_clinician_t | Geef aan wie de diagnose heeft gesteld | string |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,QFS_yesno,Ervaart u nog steeds klachten van het Q-koortsvermoeidheidssyndroom?,radio,"0,
1","Nee,
Ja",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | QFS_yesno | Ervaart u nog steeds klachten van het Q-koortsvermoeidheidssyndroom? | radio | 0,
1 | Nee,
Ja"
2.1. ME CFS Screening,Algemene medische geschiedenis,gmh_lc,"Heeft u symptomen van chronische pijn, hersenmist, kortademigheid, pijn op de borst en intense vermoeidheid ontwikkeld direct na uw SARS-CoV-2 infectie?",radio,"0,
1","Nee,
Ja",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | gmh_lc | Heeft u symptomen van chronische pijn, hersenmist, kortademigheid, pijn op de borst en intense vermoeidheid ontwikkeld direct na uw SARS-CoV-2 infectie? | radio | 0,
1 | Nee,
Ja"
2.1. ME CFS Screening,Algemene medische geschiedenis,gmh_diagnosis02,Bent u door een arts gediagnosticeerd met een van de volgende aandoeningen? Selecteer alles wat van toepassing is.,checkbox,"0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
12,
13,
16,
17,
18","Bij mij is geen van de bovenstaande aandoeningen vastgesteld,
Actieve ziekte van Graves (overactieve schildklier),
Kanker of kankerbehandeling in de afgelopen 5 jaar,
Diabetes mellitus (suikerziekte),
Nierziekte,
Andere hart- en vaatziekten (zoals hartaanval, hartfalen of ""etalagebenen""),
Beroerte, bloeding in de hersenen of bloedstolsel in de hersenen (zoals TIA, CVA, cerebrale veneuze trombose),
Andere longziekten (zoals COPD of emfyseem),
Neurologische aandoening (zoals dementie, ziekte van Parkinson, Alzheimer, amyotrofische laterale sclerose (ALS), epilepsie, de ziekte van Huntington),
Momenteel een ernstige psychische aandoening (zoals depressie stoornis, bipolaire stoornis, angststoornis, dwangstoornis,  psychose, eetstoornis of schizofrenie),
Chronische ontstekingsziekte of auto-immuunziekte (zoals Reuma, Lupus, Crohn, Colitus Ulcerosa, ziekte van Wegener, Hashimoto, Sjögren),
Chronische infecties (zoals Hepatitis B, Hepatitis C,  Tuberculose, HIV),
Ernstige bloedarmoede, waarvoor u behandeld moet worden,
Astma en/of chronische bronchitis,
Ziekte van Cushing of ziekte van Addison",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | gmh_diagnosis02 | Bent u door een arts gediagnosticeerd met een van de volgende aandoeningen? Selecteer alles wat van toepassing is. | checkbox | 0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
12,
13,
16,
17,
18 | Bij mij is geen van de bovenstaande aandoeningen vastgesteld,
Actieve ziekte van Graves (overactieve schildklier),
Kanker of kankerbehandeling in de afgelopen 5 jaar,
Diabetes mellitus (suikerziekte),
Nierziekte,
Andere hart- en vaatziekten (zoals hartaanval, hartfalen of ""etalagebenen""),
Beroerte, bloeding in de hersenen of bloedstolsel in de hersenen (zoals TIA, CVA, cerebrale veneuze trombose),
Andere longziekten (zoals COPD of emfyseem),
Neurologische aandoening (zoals dementie, ziekte van Parkinson, Alzheimer, amyotrofische laterale sclerose (ALS), epilepsie, de ziekte van Huntington),
Momenteel een ernstige psychische aandoening (zoals depressie stoornis, bipolaire stoornis, angststoornis, dwangstoornis,  psychose, eetstoornis of schizofrenie),
Chronische ontstekingsziekte of auto-immuunziekte (zoals Reuma, Lupus, Crohn, Colitus Ulcerosa, ziekte van Wegener, Hashimoto, Sjögren),
Chronische infecties (zoals Hepatitis B, Hepatitis C,  Tuberculose, HIV),
Ernstige bloedarmoede, waarvoor u behandeld moet worden,
Astma en/of chronische bronchitis,
Ziekte van Cushing of ziekte van Addison"
2.1. ME CFS Screening,Algemene medische geschiedenis,beroerte_1,"U geeft aan dat u een beroerte, bloeding in de hersenen of bloedstolsel in de hersenen heeft gehad. Welke aandoening betreft het?",string,,,,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | beroerte_1 | U geeft aan dat u een beroerte, bloeding in de hersenen of bloedstolsel in de hersenen heeft gehad. Welke aandoening betreft het? | string |  | "
2.1. ME CFS Screening,Algemene medische geschiedenis,Hart_vaatziekte_1,U geeft aan dat u gediagnostiseerd bent met hart- en vaatziekte. Welke aandoening betreft het?,string,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | Hart_vaatziekte_1 | U geeft aan dat u gediagnostiseerd bent met hart- en vaatziekte. Welke aandoening betreft het? | string |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,Chronic_infection2_1,U geeft aan dat u een chronische infectie heeft. Welk soort chronische infectie betreft het?,string,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | Chronic_infection2_1 | U geeft aan dat u een chronische infectie heeft. Welk soort chronische infectie betreft het? | string |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,Chronische_ontsteking2_1,U geeft aan dat u een chronische ontstekingsziekte of auto-immuunziekte heeft. Welk soort chronische ontsteking of auto-immuunziekte betreft het?,string,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | Chronische_ontsteking2_1 | U geeft aan dat u een chronische ontstekingsziekte of auto-immuunziekte heeft. Welk soort chronische ontsteking of auto-immuunziekte betreft het? | string |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,Bloedarmoede_1,U geeft aan dat u ernstige bloedarmoede heeft. Welke medicatie gebruikt u hiervoor?,string,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | Bloedarmoede_1 | U geeft aan dat u ernstige bloedarmoede heeft. Welke medicatie gebruikt u hiervoor? | string |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,Cancer,U geeft aan dat u in de afgelopen 5 jaar de diagnose kanker en/of kankerbehandeling heeft gehad. Welk soort kanker betreft het?,string,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | Cancer | U geeft aan dat u in de afgelopen 5 jaar de diagnose kanker en/of kankerbehandeling heeft gehad. Welk soort kanker betreft het? | string |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,psychisch_1,U geeft aan dat u momenteel een psychische aandoening heeft. Welke psychische aandoening betreft het?,string,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | psychisch_1 | U geeft aan dat u momenteel een psychische aandoening heeft. Welke psychische aandoening betreft het? | string |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,neurologisch_1,U geeft aan dat u een neurologische aandoening heeft. Welke aandoening betreft het?,string,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | neurologisch_1 | U geeft aan dat u een neurologische aandoening heeft. Welke aandoening betreft het? | string |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,Kidney,U geeft aan dat u bent gediagnosticeerd met nierziekte. Is de werking van uw nieren minder dan 50%?,radio,"0,
1","Nee,
Ja",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | Kidney | U geeft aan dat u bent gediagnosticeerd met nierziekte. Is de werking van uw nieren minder dan 50%? | radio | 0,
1 | Nee,
Ja"
2.1. ME CFS Screening,Algemene medische geschiedenis,Cushing_Addison2_1,U geeft aan dat u de ziekte van Cushing of ziekte van Addison heeft. Welke aandoening betreft het?,checkbox,"0,
1","Ziekte van Cushing,
Ziekte van Addison",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | Cushing_Addison2_1 | U geeft aan dat u de ziekte van Cushing of ziekte van Addison heeft. Welke aandoening betreft het? | checkbox | 0,
1 | Ziekte van Cushing,
Ziekte van Addison"
2.1. ME CFS Screening,Algemene medische geschiedenis,astma_bronchitis,U geeft aan dat u bent gediagnosticeerd met astma en/of chronische bronchitis. Gebruikt u hiervoor meer dan 2 soorten inhalaties (pufjes)?,radio,"0,
1","Nee,
Ja",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | astma_bronchitis | U geeft aan dat u bent gediagnosticeerd met astma en/of chronische bronchitis. Gebruikt u hiervoor meer dan 2 soorten inhalaties (pufjes)? | radio | 0,
1 | Nee,
Ja"
2.1. ME CFS Screening,Algemene medische geschiedenis,astma_bronchitis_4,Was de laatste aanval meer dan een maand geleden?,radio,"0,
1","Nee,
Ja",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | astma_bronchitis_4 | Was de laatste aanval meer dan een maand geleden? | radio | 0,
1 | Nee,
Ja"
2.1. ME CFS Screening,Algemene medische geschiedenis,laatsteaanval_datum_1,Wanneer was de laatste aanval?,date,,,,2.1. ME CFS Screening | Algemene medische geschiedenis |  | laatsteaanval_datum_1 | Wanneer was de laatste aanval? | date |  | 
2.1. ME CFS Screening,Algemene medische geschiedenis,Other_breathing,U geeft aan dat u bent gediagnosticeerd met een ademhalingsstoornis. Gebruikt u hiervoor meer dan 2 soorten inhalaties (pufjes)?,radio,"0,
1","Nee,
Ja",,"2.1. ME CFS Screening | Algemene medische geschiedenis |  | Other_breathing | U geeft aan dat u bent gediagnosticeerd met een ademhalingsstoornis. Gebruikt u hiervoor meer dan 2 soorten inhalaties (pufjes)? | radio | 0,
1 | Nee,
Ja"
